3137,6,317,8,0.930839002,563320.6897,Yarra Ranges (S),-37.8,145.31,2,1,1,3,6,10
3138,,,6,0.952173913,597153.9674,Yarra Ranges (S),-37.77,145.33,2,2,1,2,5,9
3139,11,313,7,0.987780041,437375,Yarra Ranges (S),-37.8,145.54,2,1,1,4,4,4
3140,11,671,9,0.973247232,577326.9231,Yarra Ranges (S),-37.76,145.35,2,2,1,2,5,9
3141,11,717,10,1.173366834,806156.815,Stonnington (C),-36.99,144.06,2,1,1,1,4,8
3142,12,959,10,1.009398496,2390712.251,Stonnington (C),-37.84,145,2,1,1,1,4,0
3143,9,735,10,1.040114613,1359805.491,Stonnington (C),-37.86,145.02,2,1,1,2,1,1
3144,8,423,10,1.213913043,1558385.87,Stonnington (C),-37.84,145.03,2,1,1,2,5,9
3145,12,1023,10,1.093627065,857800,Stonnington (C),-37.88,145.04,2,1,1,2,5,9
3146,,,9,1.122945431,1356112.691,Boroondara (C),-37.85,145.07,2,1,1,1,1,1
3147,,,7,1.225888325,1534815.524,Boroondara (C),-37.86,145.08,2,1,1,2,5,9
3148,,,9,1.08361204,875117.8571,Monash (C),-37.89,145.08,2,1,1,2,5,9
3149,22,1284,9,1.120380148,1137344.029,Monash (C),-37.88,145.13,2,1,1,2,5,9
3150,47,2712,8,1.022252011,1073106.322,Monash (C),-37.88,145.17,2,1,1,2,5,9
3151,6,202,9,0.969262295,940899.6454,Whitehorse (C),-37.86,145.14,2,1,1,2,5,1
3152,24,1321,6,0.978877154,779123.0159,Knox (C),-37.87,145.24,2,1,1,3,6,10
3153,,,8,0.964660936,585652.6217,Knox (C),-37.84,145.27,2,1,1,4,7,11
3154,,,6,0.979452055,578275,Knox (C),-37.85,145.31,2,1,1,2,2,2
3155,,,8,0.976298997,566186.7925,Knox (C),-37.86,145.28,2,1,1,3,6,10
3156,22,1053,9,0.942463533,608071.4286,Knox (C),-37.88,145.3,2,1,1,1,5,1
3158,,,9,0.946547884,583375,Yarra Ranges (S),-37.9,145.33,2,1,1,1,1,1
3159,5,162,8,0.910377358,612150,Yarra Ranges (S),-37.92,145.4,2,1,1,1,1,1
3160,,,10,0.921804511,519650,Yarra Ranges (S),-37.91,145.36,2,1,1,3,3,3
3161,,,10,1.088555858,1080531.065,Glen Eira (C),-38.03,145.31,1,1,1,2,5,9
3162,17,909,9,1.130081301,1136008.721,Glen Eira (C),-37.88,145.03,2,1,1,2,5,9
3163,13,946,9,1.061106524,773140.3689,Glen Eira (C),-37.89,145.06,2,1,1,2,5,9
3165,20,1603,8,1.131432114,992990.2174,Glen Eira (C),-37.93,145.06,2,1,1,2,5,9
3166,16,1162,7,1.03650935,889718.0233,Monash (C),-37.9,145.08,2,1,1,2,5,9
3167,8,439,6,0.928870293,831481.0606,Monash (C),-37.93,145.1,2,1,1,2,5,9
3168,,,4,1.0523918,698577.8602,Monash (C),-37.93,145.12,2,1,1,2,5,9
3169,8,355,8,0.955654102,692602.459,Kingston (C) (Vic.),-37.94,145.1,2,1,1,2,5,9
3170,12,745,1,1.163701068,734759.7948,Monash (C),-37.87,145.1,5,5,5,5,8,12
